filename,公司全称,公司简称,公司代码,公告名称,落款日期,目录,ESG议题,ESG奖项荣誉,编制指引/编制依据,语言,篇幅页码,字数
145754939_2025-08-18_2024年度环境、社会和公司治理(ESG)报告.pdf,泰凌微电子(上海)股份有限公司,泰凌微,688591,2024环境、社会和公司治理(ESG)报告,未找到,关于本报告;管理层致辞;关于泰凌微;2024ESG亮点绩效;可持续发展管理;筑牢治理根基;规范公司治理;深化风险管理;恪守商业道德;维护信息安全;推动绿色发展;应对气候变化;践行绿色运营;生物多样性保护;开发绿色产品;厚植创新沃土;研发创新战略;激发创新活力;知识产权保护;研发创新成果;赋能社会进步;创享多维价值;强化质量管理;优化客户服务;共筑幸福职场;保障员工权益;注重员工发展;守护员工安全;关爱员工生活;联动价值共享;可持续供应链;助力行业发展；供应商ESG管理;保障供应链稳定可控;助力行业发展;泰凌微参加Embedded World 2024，展示技术实力与市场潜力;泰凌微亮相Japan IT Week展会，以技术创新拓展日本市场;普惠万物互联，泰凌微携新一代低功耗无线创新方案亮相IOTE2024;关键绩效表;指标索引;意见反馈,1应对气候变化;3废弃物处理;4生态系统和生物多样性保护;11创新驱动;15产品和服务安全与质量;17员工;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;6能源利用;7水资源利用;8循环经济;13供应链安全;18尽职调查,国家级专精特新“小巨人”企业;2024上海专精特新“小巨人”企业品牌价值榜“百佳企业”;2024世界电子成就奖;2024年度第九届IoT创新奖IoT技术创新奖;创新技术产品奖“通信技术创新奖”;2024国际AIoT生态发展大会年度AIoT创新企业奖;小米Vela生态合作伙伴奖;中国物联网企业100强；IOTE金奖,《可持续发展报告指南》(GRI Standards)、《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》、《中国企业可持续发展报告指南(CASS-ESG6.0)之一般框架》以及联合国可持续发展目标(SDGs)；《上海证券交易所上市公司自律监管指引第14号——可持续发展报告（试行）》;《可持续发展报告指南》（GRI Standards）,中文,62,33939
145757980_2025-08-19_中粮资本：中粮资本控股股份有限公司2024年度环境、社会与公司治理（ESG）报告.pdf,中粮资本控股股份有限公司,中粮资本,002423.SZ,2024年度环境、社会与公司治理（ESG）报告,2024-12-31,关于本报告;董事长致辞;ESG亮点绩效;走进中粮资本;ESG管理;ESG战略锚定 恪守初心，链动产业革新;坚定可持续发展;产业赋能;技术革新;ESG长效实践 行稳致远，共创共享价值;乡村振兴;社会公益;应对气候变化;ESG势能辐射 同心共擎，激活价值共同体;上下游绿色管理;客户优质服务;员工关怀;ESG敏捷实践 精治强核，稳驭新程;坚持党建引领;公司治理;全面的风险管理与合规守纪;数据安全与隐私；ESG规划; 绿色运营; 上下游绿色管理; 产业赋能; 数据安全与隐私; 员工关怀; 反洗钱; 廉洁文化、反腐败、举报途径; 公司治理; 开展绿色金融实践; 明确绿色金融战略; 党建引领,1应对气候变化;9乡村振兴;10社会贡献;17员工;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;3废弃物处理;5环境合规管理;6能源利用;7水资源利用;13供应链安全;15产品和服务安全与质量;16数据安全与客户隐私保护,2024年上市公司董事会最佳实践奖;ESG金牛奖乡村振兴二十强;2024中国人力资源Venus大奖-校园招聘卓越实践奖;保险业投资金牛奖;2024金牌保险投资团队方舟奖;年度值得托付保险公司奖;年度金融消费者权益保护优秀案例;年度长期寿险领航产品;年度保险中介影响力品牌;年度金牌寿险公司;优秀信托文化建设公司;卓越综合竞争力信托公司;卓越家族办公室;金融品牌年度新媒体;一年期混合类产品金牛奖;三年期固定收益类产品金牛奖;优秀ABS发行机构;2024年度家族信托管理创新优秀案例;忠良百战奖;2024中国领军期货公司君鼎奖;中国优秀期货风险管理子公司君鼎奖;优秀会员奖;产业服务优秀会员;2024年度卓越品牌力企业百强榜;中国最佳期货公司;中国期货公司金牌管理团队;中国期货公司年度最佳掌舵人;最佳商品期货产业服务奖;首都文明单位荣誉称号;期货经营机构服务实体经济优秀案例,全球报告倡议组织（GRI）《可持续发展报告标准》;联合国可持续发展目标（SDGs）;《央企控股上市公司ESG专项报告参考指标体系》;《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》;《中国企业可持续发展报告体系（CASS-ESG 6.0）》；GRI可持续发展报告标准（GRI Standards）,中文,58,38558
145763337_2025-08-21_华翔股份2024年度可持续发展报告.pdf,山西华翔集团股份有限公司,华翔股份,603112,2024年度可持续发展报告,未找到,关于本报告;董事长致辞;走进华翔;专题;共筑管理之基 可持续发展管理;共建治理格局 公司治理;共护绿水青山 应对气候变化;共铸卓越品质 铸造华翔品质;共构人文关怀 构建华翔人文;共守安全屏障 守护安全防线;共担责任使命 贡献华翔力量,1应对气候变化;2污染物排放;3废弃物处理;4生态系统和生物多样性保护;5环境合规管理;6能源利用;7水资源利用;8循环经济;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争,2024年1月获得沈阳中航机电三洋制冷设备有限公司颁发的2023年度供应商质量优秀奖；2024年1月获得美的集团颁发的工业技术事业群战略供应商；2024年1月获得广州万宝集团压缩机有限公司颁发的2023年度研发创新奖；2024年3月获得昆山丰田汽车研发的品质改善推进奖；2024年3月获得上海大陆汽车制动系统销售有限公司颁发的2023年度优秀供应商；2024年3月获得国投（重庆）制动系统有限公司颁发的2024年度协同奖；2024年6月获得Ecovadis企业社会责任铜牌；2024年7月获得尼得科压缩机（北京）有限公司颁发的过程控制数字化先锋奖；2024年9月获得Secop（思科普）公司颁发的持续发展杰出供应商；2024年11月华翔荣获山河智能装备股份有限公司2024年度金牌供应商奖项；欧洲丰田成本节俭优秀奖,《上海证券交易所上市公司自律监管指南第4号——可持续发展报告编制》；《上海证券交易所上市公司自律监管指引第14号——可持续发展报告（试行）》；联合国17项可持续发展目标（SDGs）；《可持续发展报告标准（GRI Standards）》；联合国全球契约十项原则；气候相关财务信息披露工作组（TCFD）《气候相关财务信息披露工作组建议报告》,中文,39,39504
145765050_2025-08-21_熊猫乳品：2024年度可持续发展报告.PDF,熊猫乳品集团股份有限公司,熊猫乳品,300898.SZ,2024可持续发展报告,未找到,报告前言;报告规范;董事长致辞;公司简介;企业荣誉;可持续发展管理;规范治理;公司治理;合规与风险管理;党政建设;环保低碳运营;应对气候变化;环境合规管理;污染物排放管理;废弃物处理;生态系统和生物多样性保护;能源利用;水资源利用;绿色包装与循环经济;社会责任;创新驱动;供应链安全;产品和服务安全与质量;数据安全与客户隐私保护;员工;乡村振兴与社会贡献;关键绩效表;指标索引;意见反馈,1应对气候变化;5环境合规管理;2污染物排放;3废弃物处理;4生态系统和生物多样性保护;6能源利用;7水资源利用;8循环经济;11创新驱动;13供应链安全;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;9乡村振兴;10社会贡献,2024年度上市公司卓越投关建设奖;卓越董秘奖;最受欢迎董秘TOP300;《浙江区域特色营养炼乳制品关键技术及产业化》荣获中国食品工业协会科学技术三等奖;《基于高效脂肪破碎关键技术研发及产业化》荣获中国乳制品工业协会技术进步二等奖,《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》《深圳证券交易所上市公司自律监管指南第3号——可持续发展报告编制》要求，参考了中国社会科学院《中国企业可持续发展报告指南（CASS—ESG6.0）》、联合国可持续发展目标（SDGS）等文件,中文,37,30829
145767107_2025-08-21_锐明技术：环境、社会与公司治理责任政策（草案）（H股发行上市后适用）.PDF,深圳市锐明技术股份有限公司,深圳市锐明技术,未找到,环境、社会与公司治理责任政策（草案）（H股发行上市后适用）,未找到,第一章 总则；第二章 ESG工作小组的组成及职责；第三章 工作程序；第四章 附则,未找到,未找到,未找到,中文,3,2068
145771093_2025-08-22_宁波韵升2024年度环境、社会及治理（ESG）报告.pdf,宁波韵升股份有限公司,宁波韵升,600366,2024年度环境、社会及治理（ESG）报告,2024-12-31,关于本报告;董事长致辞;走进宁波韵升;公司治理篇;筑牢治理根基，引领责任未来;ESG治理;党建引领;三会协同;风险防范;股东权益;商业道德;环境保护篇;绿色转型加速度，生态共赢新图景;应对气候变化;环境合规管理;资源利用;物料利用;产业价值篇;创新驱动价值链，赋能产业新生态;创新驱动;供应链管理;产品安全与质量;客户服务;数据安全与客户隐私保护;员工人权篇;以人为本，共筑尊严职场;合规雇佣;员工职业发展与培训;职业健康与安全;美好生活篇;共创美好生活，共享幸福未来;公益慈善;乡村振兴;附录;数据表及附注;指标索引;意见反馈表；关于本报告;董事长致辞;走进宁波韵升;公司治理篇——筑牢治理根基，引领责任未来;环境保护篇——绿色转型加速度，生态共赢新图景;产业价值篇——创新驱动价值链，赋能产业新生态;员工人权篇——以人为本，共筑尊严职场;美好生活篇——共创美好生活，共享幸福未来;附录,1应对气候变化;5环境合规管理;6能源利用;8循环经济;11创新驱动;16数据安全与客户隐私保护;17员工;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;9乡村振兴;10社会贡献,稀土新材料领域“全国领军企业”;材料电材材生产应用示范平台（建设单位）;2023年浙江省企业社会责任100家领先企业;2021年度新质生产力引领企业;2024年宁波竞争力企业百强;2024年度宁波市制造业企业百强;2023年度综合贡献标杆企业;2023年度大力鹰;六届理事会优秀会员;“韵升（YUNSHENG）”2024-2026年度出口名牌;宁波出口名牌（2024-2026年度）;宁波电子行业协会第五届行业发展杰出贡献奖;2023年度阿尔卑斯株式会社卓越技术贡献感谢奖;哈曼最佳质量奖（2023）,上海证券交易所《上海证券交易所上市公司自律监管指引第14号——可持续发展报告（试行）》;联合国2030年可持续发展目标（SDGs）;全球可持续发展标准委员会GRI《可持续发展报告标准》（GRI Standards）;可持续发展会计准则委员会准则（SASB Standards）;中国国家标准《社会责任报告编制指南》（GB/T 36001-2015）;中国企业改革与发展研究会《中国企业社会责任报告编写指南》（CASS-ESG6.0）；《全球可持续发展报告标准》（GRI Standards）、《中国企业社会责任报告编写指南》（CASS-ESG 6.0）,中文,62,46889
145774932_2025-08-24_泰禾股份：2024年可持续发展报告.PDF,南通泰禾化工股份有限公司,泰禾股份,301665,2024年可持续发展报告,2024-12-31,关于本报告;董事长致辞;2024年可持续发展亮点;走进泰禾;治理责任;社会责任;环境责任;附录；指标索引;GRI指标索引;SGS索引;深交所《指引》索引;鉴证声明;意见反馈,2污染物排放;5环境合规管理;6能源利用;8循环经济;11创新驱动;15产品和服务安全与质量;17员工;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;1应对气候变化;3废弃物处理;4生态系统和生物多样性保护;7水资源利用;9乡村振兴;10社会贡献;13供应链安全;18尽职调查,高新技术企业;江苏省绿色工厂;2023年度培训诚信经营守信践诺标杆企业倡议单位;如东县'无诈企业';江苏省高效低毒杀虫剂工程研究中心;国家知识产权优势企业;中国石油和化学工业专利奖金奖;江苏省智能制造示范工厂;2024年江苏省科技创新协会科技创新奖;江苏精品认证证书;两化融合管理体系评定证书;全县工业企业十大科技创新成果;无废企业;健康企业;江西名牌产品证书;江西省专精特新中小企业;2024年新沂市职工'五小'活动优秀组织单位;徐州市绿色工厂,全球可持续发展标准委员会（GSSB）《可持续发展报告标准》（GRI Standards 2021）;联合国可持续发展目标（UN SDGs）;《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》（以下简称“《指引》”）;《深圳证券交易所创业板上市公司自律监管指南第3号——可持续发展报告编制》；GRI可持续发展报告标准（GRI Standards 2021）,中文,55,49095
145775308_2025-08-24_招商南油2024年度ESG报告.pdf,招商局南京油运股份有限公司,招商南油,601975.SH,2024环境、社会及管治（ESG）报告,2024-12-31,报告说明;董事长致辞;关于招商南油;我们的2024;荣誉与认可;公司概况;组织架构;业务布局;企业文化;可持续发展管理;可持续发展治理;利益相关方沟通;重要性议题评估;引领责任担当;规范公司治理;全面风险管理;恪守商业道德;践行绿色发展;完善环境管理;应对气候变化;提高资源利用;废弃物与排放管理;践行生态保护;共创一流航运;保障能源供应;数智航运转型;优质客户服务;可持续供应链;推动行业发展;坚守安全航运;构建美好生活;职业健康与安全;保障员工权益;支持人才发展;关爱员工生活;助力乡村振兴;参与社区公益;报告附录;ESG绩效;内容索引;专有名词;意见反馈表,1应对气候变化;5环境合规管理;6能源利用;7水资源利用;8循环经济;9乡村振兴;10社会贡献;17员工;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;3废弃物处理;4生态系统和生物多样性保护,2024中国企业ESG“金责奖·最佳责任进取奖”（颁发机构：新浪财经）;金蜜蜂2024长三角优秀上市公司可持续发展报告（颁发机构：金蜜蜂智库）,上海证券交易所《上市公司自律监管指引第14号——可持续发展报告（试行）》;上海证券交易所《上市公司自律监管指南第4号——可持续发展报告编制》;全球可持续发展标准委员会（GSSB）发布的《GRI可持续发展报告标准》（GRI Standards）;可持续发展会计准则委员会SASB发布的《海洋运输可持续发展会计准则》（Marine Transportation Sustainability Accounting Standard）;气候相关财务信息披露工作组（Task Force on Climate-Related Financial Disclosure，TCFD）披露框架;联合国可持续发展目标（UN SDGs）;国内外评级机构ESG评级标准；GRI可持续发展报告标准（GRI Standards）,中文,53,71748
145777676_2025-08-25_亨通光电2024年环境、社会及治理报告.pdf,江苏亨通光电股份有限公司,亨通光电,未找到,2024环境、社会及治理报告,2025-08-22,关于本报告;董事长致辞;走进亨通光电;合规经营 稳健发展根基;公司治理;ESG治理;利益相关方沟通;风险管理;商业道德;引领创新 打造领先品质;创新驱动;供应链管理;质量把控;客户服务与信息保护;低碳发展 照亮绿色未来;环境保护与管理;气候变化与双碳;能源提效与转型;节水改造与优化;排放管理与循环;关爱员工 促进共融发展;人才吸引与保留;助力成长与发展;促进沟通与关怀;职业健康与安全;全球共创 彰显亨通担当;社会贡献与乡村振兴;推动行业可持续发展;附录;附录一：GRI标准索引;附录二：上海证券交易所指引索引,1应对气候变化;2污染物排放;3废弃物处理;5环境合规管理;6能源利用;8循环经济;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争;4生态系统和生物多样性保护;7水资源利用;9乡村振兴;10社会贡献;12科技伦理;13供应链安全;14平等对待中小企业,2024年新财富杂志“最佳上市公司”奖；“ESG最佳实践”奖；界面新闻“2024 ESG先锋60”“年度公司治理优秀奖”；“邓白氏&SMM”新能源领域“ESG卓越企业”奖；2024年9月，推动“苏州市企业可持续发展联合会”成立，亨通担任常务副会长单位；江苏亨通高压电缆有限公司获评“苏州市（近）零碳工厂”；中国移动合作伙伴乡村振兴贡献金奖,全球报告倡议组织（GRI）标准、上海证券交易所《上海证券交易所上市公司自律监管指引第14号——可持续发展报告（试行）》，同时参考与回应了摩根士丹利资本国际公司ESG评级（MSCI ESG评级）、标普全球企业可持续发展评估（S&P Global Corporate Sustainability Assessment）；GRI标准,中文,61,70843
145782368_2025-08-25_节能国祯：节能国祯2024年度环境、社会及治理（ESG）报告.PDF,中节能国祯环保科技股份有限公司,中节能国祯,300388,2024环境、社会和治理（ESG）报告,2024-12-31,报告编制说明;致利益相关方的一封信;关于中节能国祯;可持续发展治理;专题;附录,1应对气候变化;2污染物排放;4生态系统和生物多样性保护;5环境合规管理;6能源利用;7水资源利用;8循环经济;9乡村振兴;10社会贡献;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争,中节能国祯获“中国水业十大影响力企业”（E2O环境平台）;中节能国祯入选“中国环境企业营收前50强”（全联环境服务业商会）;中节能国祯获安徽省AAA级“守合同重信用”企业（安徽省市场监督管理局）;中节能国祯获2024年度安徽省优秀市政施工企业（安徽省市政工程协会）;中节能国祯获2024年度合肥市市政工程行业优秀企业（合肥市市政工程协会）;合肥市胡大郢净水厂获2024年度生态化标杆污水处理厂（E2O环境平台）;合肥市清溪净水厂获2024年精细化标杆污水处理厂（E2O环境平台）;合肥市小仓房污水处理厂获2024年低碳化标杆污水处理厂（E2O环境平台）;中节能国祯钟油坊污水处理厂工程获2024年度合肥市市政工程“庐州杯”奖（合肥市城乡建设局、合肥市市政工程协会）;中节能国祯十五里河流域治理一期优化项目工程获2024年度合肥市市政工程“庐州杯”奖（合肥市城乡建设局、合肥市市政工程协会）;中节能国祯获2024年宿州市建筑施工安全生产标准化示范工地（宿州市住房和城乡建设局）;2024年中央企业基层理论宣讲微视频优秀奖（国务院国资委宣传工作局中央企业影视专委会）,深圳证券交易所《上市公司自律监管指引第17号——可持续发展报告（试行）》;《上市公司自律监管指南第3号——可持续发展报告编制》;国务院国有资产监督管理委员会《央企控股上市公司ESG专项报告参考指标体系》及《央企控股上市公司ESG专项报告参考模板》;联合国可持续发展目标（UNSDGs）;全球报告倡议组织（Global Reporting Initiative，简称“GRI”）发布的《可持续发展报告标准（GRI Standards）》,中文,49,50965
145783202_2025-08-25_中金辐照：中金辐照股份有限公司2024年ESG报告.PDF,中金辐照股份有限公司,中金辐照,SZ.300962,中金辐照股份有限公司2024年ESG报告,未找到,关于本报告;董事长致辞;关于我们;公司简介;领导团队;组织架构;企业文化;企业荣誉;ESG绩效;ESG管理;ESG理念;ESG推进;重要性议题分析;利益相关方沟通;环保篇 绿色发展，共谋和谐共生之道;加强管理，共筑绿色未来;响应“双碳”，应对气候变化;身体力行，传递绿色理念;向绿而行，守护碧水蓝天;循环共生，资源高效利用;社会篇 和衷共济，共筑美好生活之道;以人为本，增进员工福祉;生命至上，搭建安全屏障;勠力同心，携手阔步前行;善行善举，践行使命担当;管治篇 守正创新，共创稳健治理之道;初心正炽，谱写绚烂华章;规范治理，维护股东权益;合规管理，筑牢发展基石;质量至上，提供优质服务;求新求变，激发创新活力;未来展望;附录;关键绩效,1应对气候变化;6能源利用;7水资源利用;8循环经济;11创新驱动;17员工;19利益相关方沟通;21反不正当竞争,中国证券报“第二十六届上市公司金牛奖—金信披奖”,《GRI可持续发展报告标准》（GRI Standards）；《ISO 26000：社会责任指南（2010）》；联合国2030年可持续发展目标（SDGs）；国务院国资委《关于新时代中央企业高标准履行社会责任的指导意见》；国务院国资委《提高央企控股上市公司质量工作方案》；中国社会科学院《中国企业可持续发展报告指南CASS-ESG 6.0》；深圳证券交易所《深圳证券交易所上市公司自律监管指引第2号——创业板上市公司规范运作》；《深圳证券交易所创业板上市公司自律监管指南第3号——可持续发展报告编制》,中文,39,36794
145784307_2025-08-25_康华生物：2024年度环境、社会及公司治理（ESG）报告.PDF,成都康华生物制品股份有限公司,康华生物,SZ300841,2024年度环境、社会及公司治理（ESG）报告,未找到,公司致辞;2024大事记;2024公司荣誉;关于我们;公司简介;企业治理;规范三会运作;投资者关系管理;信息披露强化;股东权益保护;利益相关方;企业荣誉;可持续发展管理;可持续发展管理策略;可持续发展管理理念;实质性议题分析;ESG治理架构;董事会声明;发展·合规稳健运营;推进依法合规;依法治企;合规运营;强化风险管控;筑牢清廉底线;信赖·研发优质产品;研发创新;夯实研发实力;研发优质产品;知识产权保护;质量管理;质量管理体系;药物警戒管理;推进信息安全建设;安全生产;安全管理体系;安全文化建设;打造安全型智慧园区;赋能客户;深耕服务质量;客户投诉管理;践行责任营销;绿色·践行低碳发展;排放与废弃物管理;环境合规管理;能源利用;水资源管理;绿色运营;成长·携手员工共赢;保障员工权益;助力职业发展;强化人才培养;守护职业健康;丰富员工生活;美好·助力社会和谐;拓展伙伴关系;打造可持续供应链;深化多元合作;聚焦医疗可及;助力普惠健康;践行公益慈善;绩效表;管治绩效表;环境绩效表;社会绩效表;附录;深交所索引;GRI索引;法律法规一览表;内部政策一览表;关于本报告;读者反馈表,1应对气候变化;2污染物排放;3废弃物处理;5环境合规管理;6能源利用;7水资源利用;8循环经济;11创新驱动;15产品和服务安全与质量;17员工;19利益相关方沟通;20反商业贿赂及反贪污,2023专利密集型产品;获评“2023年度四川省新经济100强”;获评“四川省医药行业50强”;获评“成都市院士（专家）创新工作站”;获评“龙泉驿区先进基层党组织”;获评“2023年四川企业技术创新发展能力100强”;冻干人用狂犬病疫苗（人二倍体细胞）获“成都工业精品”称号;药物警戒工作获药品不良反应监测中心表扬;公司实验室取得CNAS认可;获评“中国人才发展灯塔奖·业务赋能优秀企业”;2024年四川科技进步奖三等奖;2024年四川省专利奖三等奖,联合国《2030年可持续发展议程》;全球可持续发展标准委员会《GRI可持续发展报告标准》（GRI Standards）;国际标准化组织《ISO 26000：社会责任指南》（2010）;国家标准GB/T36000-2015《社会责任指南》、GB/T36001-2015《社会责任报告编写指南》、GB/T36002-2015《社会责任绩效分类指引》;香港联交所《环境、社会及管治报告指引》;《深圳证券交易所上市公司自律监管指引第2号——创业板上市公司规范运作》;《深圳证券交易所上市公司自律监管指引第11号——信息披露工作考核》;《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》,中文,48,44974
