filename,公司全称,公司简称,公司代码,公告名称,落款日期,目录,ESG议题,ESG奖项荣誉,编制指引/编制依据,语言,篇幅页码,字数
145809307_2025-08-27_三友联众：2024年度可持续发展报告（英文版）.PDF,三友联众集团股份有限公司,三友联众,300932.SZ,2024 Sustainability Report,未找到,关于本报告; 报告范围; 报告编制指引; 释义; ESG报告索引; GRI内容索引; 了解三友; 董事长致辞; 公司概述; 发展历程; 公司文化; 可持续管理; 战略领导; 双重重要性评估; 利益相关方沟通和响应机制; 绿色制造; 应对气候变化; 能源管理; 废弃物和污染管理; 水资源管理; 生物多样性; 社会责任; 产品质量安全与创新; 营销与客户权益; 供应链质量管理; 隐私与数据安全; 员工关怀与职业健康; 社会福利与贡献; 合规治理; 公司治理; 合规运营; 商业道德；01 了解三友联众，携手迈向可持续未来; 02 可持续管理，引领三友稳步前行; 03 绿色制造，赋予产品绿色基因; 04 社会责任，构建多元包容生态; 05 合规治理，夯实百年三友根基,1应对气候变化;6能源利用;3废弃物处理;7水资源利用;4生态系统和生物多样性保护;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;11创新驱动;10社会贡献;2污染物排放;5环境合规管理;13供应链安全;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争,广东省制造业单项冠军企业; 国家知识产权优势企业; 团体标准主要起草单位; UL Witness Test Data Program; 中国检验检测学会协作实验室; TUV Rheinland Witness Laboratory; VDE Test Data Acceptance Program; CNAS Laboratory Accreditation Certification,"Global Reporting Initiative (GRI) Standards 2021, the SASB Standards for the Electrical & Electronic Equipment industry, and the UN's Sustainable Development Goals (SDGs). The Self-Regulatory Guidelines No. 17 for Companies Listed on Shenzhen Stock Exchange—Sustainability Report (for Trial Implementation) and Self-Regulatory Guidelines No. 3 for Companies Listed on Shenzhen Stock Exchange—Preparation of Sustainability Report；GRI Standards",英文,64,218114
145809312_2025-08-27_三友联众：2024年度可持续发展报告.PDF,三友联众集团股份有限公司,三友联众,未找到,2024年度可持续发展报告,未找到,关于本报告;报告范围;编制依据;释义;ESG报告索引;GRI内容索引;走进三友 共赴可持续未来;董事长致辞;集团介绍;发展历程;企业文化;可持续管理 引领三友行稳致远;战略引领;双重重要性分析;利益相关方沟通与回应机制;绿色制造 为产品注入绿色基因;应对气候变化;能源管理;污废管理;水资源管理;生物多样性;社会担当 共筑多元和谐生态;产品质量安全与创新;营销与客户权益;供应链质量管理;隐私与数据安全;员工关怀与职业健康;社会公益与贡献;合规治理 筑牢“百年三友”根基;公司治理;合规经营;商业道德；01走进三友 共赴可持续未来;02可持续管理 引领三友行稳致远;03绿色制造 为产品注入绿色基因;04社会担当 共筑多元和谐生态;05合规治理 筑建'百年三友'根基,1应对气候变化;6能源利用;2污染物排放;3废弃物处理;7水资源利用;4生态系统和生物多样性保护;15产品和服务安全与质量;13供应链安全;17员工;19利益相关方沟通;18尽职调查;21反不正当竞争,2024TCL空调优秀供应商;广东省制造业单项冠军企业;UL目击实验室证书;实物标准协作实验室证书;TÜV目击实验室证书;VDE数据实验室证书;CNAS国家认可实验室证书;国家知识产权优势企业;2024届3+1“骨干”实习过程总结&师徒制拜师仪式;技能大师工作室,GRI准则（GRI Standards 2021）、SASB电气与电子设备（Electrical & Electronic Equipment）行业准则、联合国可持续发展目标（SDGs）；参考《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》《深圳证券交易所创业板上市公司自律监管指引第3号——可持续发展报告编制》；GRI Standards,中文,64,67272
145810485_2025-08-27_指南针：2024年度可持续发展报告.PDF,北京指南针科技发展股份有限公司,指南针,未找到,2024年度可持续发展报告,未找到,第一节 报告开篇;第二节 公司治理;第三节 环境;第四节 员工雇佣与发展;第五节 产品责任;第六节 伙伴合作与行业共进;第七节 附录,1应对气候变化;2污染物排放;3废弃物处理;9乡村振兴;10社会贡献;11创新驱动;16数据安全与客户隐私保护;17员工;18尽职调查;19利益相关方沟通;21反不正当竞争,公司入选中国上市公司协会2024年上市公司董事会典型实践案例;公司入选中国上市公司协会2024年董办最佳实践案例;麦高证券获得投资者服务中心颁发的《股东来了》2024年投资者保护视频大赛优秀奖;公司入选北京企业联合会&北京市企业家协会2024年北京数字经济企业百强;公司入选北京市昌平园2024年度“双爱双评”先进企业;公司入选北京市昌平园2024年度工会工作先进单位;麦高证券获得2024年度中国田径协会跑遍中国系列活动优秀组织示范单位,深圳证券交易所《上市公司自律监管指引第17号——可持续发展报告（试行）》;依据全球可持续发展标准委员会（GSSB）《可持续发展报告编写指南（GRI 2021）》;深圳证券交易所《上市公司自律监管指南第3号——可持续发展报告编制》;财政部《企业可持续披露准则——基本准则（试行）》;气候相关财务信息披露工作组（简称“TCFD”）披露框架,中文,34,23384
145811046_2025-08-28_深圳市杰普特光电股份有限公司2024年可持续发展报告（英文版）.pdf,深圳市杰普特光电股份有限公司,JPT,688025,2024可持续发展报告,2024-12-31,关于本报告;董事长致辞;关于JPT;JPT治理;JPT创新与发展;JPT可持续发展;JPT员工;JPT企业公民,1应对气候变化;6能源利用;8循环经济;11创新驱动;17员工,广东省制造业单项冠军企业;制造业单项冠军产品（第八批）;2022年福建省科学技术进步奖二等奖“电池工匠-年度行业新星奖”;国际知名品牌;秘密之光奖-激光行业创新突破奖;2023年广东省制造业行业科学技术奖技术进步三等奖;“OFweek激光奖-最佳工业激光应用案例”“OFweek激光奖-最佳光纤激光技术创新奖”;中国激光之星奖激光行业杰出人物奖,《深圳证券交易所上市公司自律监管指引第1号-规范运作》、中国国家标准GB/T 36001-2015《中国企业社会责任报告编制指南》、全球可持续发展标准委员会“GRI可持续发展报告标准”（GRI Standards）、中国社会科学院“中国企业社会责任报告编制标准”（CASS-CSR4.0）、联合国可持续发展目标（SDGs）；GRI Standards,英文,73,123059
145811047_2025-08-28_深圳市杰普特光电股份有限公司2024年可持续发展报告（中文版）.pdf,深圳市杰普特光电股份有限公司,杰普特,688025,2024可持续发展报告,未找到,关于本报告;董事长致辞;走进杰普特;厚德之光;创新之光;绿色之光;谦尊之光;社会之光;ESG索引;意见反馈,2污染物排放;3废弃物处理;6能源利用;11创新驱动;17员工;19利益相关方沟通;9乡村振兴;10社会贡献,广东省制造业单项冠军企业;第八届国家制造业单项冠军产品;2022年度福建省科学技术进步奖二等奖;“电池工匠-年度行业新星奖”;国际信誉品牌;红光奖-激光行业创新突破奖;2023年度广东省制造业科学技术奖科技进步三等奖;“维科杯”最佳激光行业应用案例奖;“维科杯”最佳光纤激光器技术创新奖;中国激光星锐奖激光行业杰出人物奖；第七届“红光奖”——激光行业创新突破奖,《深圳证券交易所上市公司自律监管指引第1号--规范运作》、中国国家标准GB/T 36001-2015《社会责任报告编写指南》、全球可持续发展标准委员会《GRI可持续发展报告标准》(GRI Standards)、中国社会科学院《中国企业社会责任报告编制指南》(CASS-CSR4.0)、联合国可持续发展目标(SDGs)；GRI标准,中文,73,36855
145816857_2025-08-28_新华医疗2024年度ESG报告.pdf,山东新华医疗器械股份有限公司,新华医疗,600587.SH,2024环境、社会和公司治理（ESG）报告,2025-08-27,董事长致辞;关于本报告;走进新华医疗;可持续发展治理;创新驱动引领未来;卓越品质服务健康;绿动新华守护环境;以人为本共筑美好;强本固基行稳致远;未来展望;附录,1应对气候变化;2污染物排放;3废弃物处理;5环境合规管理;6能源利用;7水资源利用;8循环经济;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;18尽职调查;19利益相关方沟通;9乡村振兴;10社会贡献;20反商业贿赂及反贪污;21反不正当竞争,入选2024年华证A股上市公司首发ESG报告优胜TOP100;荣获山东省绿色工厂称号;荣获山东省全员创新企业称号;荣获2024人文医疗建筑全国医疗建筑优质工程奖一等奖;荣获京东健康颁发的2024年度领航品牌奖;新华手术器械公司荣获第八批山东省制造业单项冠军企业;通过ISO 14001环境管理体系认证;通过ISO 50001能源管理体系认证;荣获国家级绿色供应链管理企业认证；消防应急救援技能大赛优秀单位；消防应急救援技能大赛优秀组织奖,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告（试行）》;《上海证券交易所上市公司自律监管指南第4号——可持续发展报告编制》;山东省人民政府国有资产监督管理委员会《山东省控上市公司ESG指标体系工作指引》;全球报告倡议组织《可持续发展报告标准》（GRI Standards）;《中国企业可持续发展报告指南（CASS-ESG 6.0）》;联合国可持续发展目标（SDGs）,中文,68,60738
145827163_2025-08-29_2024可持续发展报告书（英文版）.pdf,环旭电子股份有限公司,环旭电子,601231,2024年可持续发展报告,2025-08,关于本报告;关于环旭电子;董事长兼总裁致辞;可持续发展绩效亮点;可持续发展管理;运营与治理;绿色产品与创新;价值链管理;环境保护与职业安全;包容性工作场所;社会参与;子公司概览;附录；About this Report; Sustainability Management; Operations and Governance; Green Products and Innovation; Value Chain Management; Environmental Protection and Occupational Safety; Inclusive Workplace; Social Involvement; Subsidiary Overview; Appendix,1应对气候变化;6能源利用;7水资源利用;8循环经济;12科技伦理;13供应链安全;15产品和服务安全与质量;17员工;19利益相关方沟通;2污染物排放;3废弃物处理;11创新驱动;18尽职调查;20反商业贿赂及反贪污;21反不正当竞争,"S&P Global Sustainability Yearbook Industry Top 5%;ISS ESG Corporate Rating Prime Status;MSCI ESG Ratings BBB;Certified RBA Factory of Choice;EcoVadis Bronze Sustainability Rating;2024 China's Industrial Carbon Peak Frontrunner;2024 Wind ESG China Listed Companies Best ESG Practices Award;SynTao Green Finance 2024 ESG Rating A;Capital Week 2024 ESG Golden Beacon Awards;2024 CDP Climate Change B Rating;2024 CDP Water Resources B Rating;2024 SGS ESG Awards-Sustainable Environment Award;2024 Shanghai Roots & Shoots 25th Anniversary Distinguished Partner Award;Guangdong Green Factory Certification;Acknowledgement for Contributions to Eco-Industrial Park Development in Vietnam;2024 China Business Network Capital Market Value-List-Most Competitive Enterprise of the Year;2024 Top 100 Shanghai Emerging Industries;2024 Top 100 Shanghai Manufacturers;2024 Top 100 Shanghai Enterprises;2023 Nissan Quality Improvement Award;2023 Best Practice for Shanghai Listed Companies Corporate Governance and Internal Control;2023 Top 10 Sales in Shanghai Integrated Circuit Packaging and Testing Industry;2024 Guangdong Top 500 Manufacturers;2024 Greater Bay Area Strategic Emerging Industries-Leading Enterprise;TCL CSOT 15-Year Long-Term Supplier Award;2023 Kunshan Outstanding Contribution to Industrial Output;Taiwan Intellectual Property Management Standard (TIPS)-Patent Grade A Certification;2018-2024 Jalisco Technology Park Program-Outstanding Collaboration Award;2024 Honeywell Global Supplier Resilience Award;2023 High Outstanding Contributions to High Export Turnover;2023 Safe Production Steady Progress Award;Top 10 Enterprises with Harmonious Labor Relations;2024 Nantou County Top Cancer Screening Workplace;2025-2027 Accredited Healthy Workplace-Health Promotion Badge;2022-2025 Accredited Nantou County Breastfeeding Room-Most Accommodating Room;2024 Jalisco Without Gaps Badge-Workplace Gender Equality;2024 Jalisco Responsible Distinction-Good Labor Practices;ELSSA Distinction for Safe and Healthy Work Environments;2024 Outstanding Enterprise for Employees;2024 Outstanding Contributions to Building a Strong Union and Holding Excellent Labor Activities for Employees；RBA Factory of Choice (FOC); Jiangsu Provincial Smart Manufacturing Demonstration Factory; Jiangsu's First Batch of 'Star-rated' Cloud-Integrated Enterprises; Best partner Award for Consen Hangzhou Emerson Automation Technology Co., Ltd; Suzhou Labor and Social Security 'AA' Credit Rating Enterprise; Jiangsu Provincial Green Factory",GRI Standards 2021;SASB Electronic Manufacturing Services & Original Design Manufacturing Standards;SSE Listed Companies Self-Regulatory Guidelines No.14-Sustainability Report (Preliminary Version)；GRI Standards,英文,192,487117
145827164_2025-08-29_2024可持续发展报告书（审验版）.pdf,环旭电子股份有限公司,环旭电子,601231,2024可持续发展报告书,2025-08-01,关于本报告书;关于环旭电子;董事长与总经理的话;可持续荣耀与肯定;可持续管理;营运与治理;绿色产品与创新;价值链管理;环境保护与职场安全卫生;包容职场;社会参与;子公司概览;附录；关于本报告书;可持续管理;营运与治理;绿色产品与创新;价值链管理;环境保护与职场安全卫生;包容职场;社会参与;子公司概览;附录；关于本报告书;可持续管理;营运与治理;绿色产品与创新;价值链管理;环境保护与职场安全卫生;包容职场;社会参与;子公司概览;附录；关于本报告书;可持续管理;营运与治理;绿色产品与创新;价值链管理;环境保护与职场安全卫生;包容职场;社会参与;子公司概览;附录,1应对气候变化;3废弃物处理;6能源利用;11创新驱动;17员工;19利益相关方沟通;7水资源利用;8循环经济;13供应链安全;18尽职调查;9乡村振兴;10社会贡献;2污染物排放;4生态系统和生物多样性保护;5环境合规管理,2022-2025年连续4年入选S&P Global可持续发展年鉴;ISS ESG企业评比“最佳”等级;MSCI ESG评级BBB;7厂区获得RBA精选工厂一星级认证;EcoVadis可持续铜牌奖;2024年中国工业碳达峰“领跑者”企业;晨星Sustainalytics ESG风险评级“可忽略的风险”;2024年度Wind中国上市公司ESG最佳实践奖;2024年商道融绿ESG评级“A”;证券市场周刊2024年度ESG金曙光奖;2024年CDP气候变迁评比获得B评级;2024年CDP水资源评比获得B评级;2024年SGS永续环境奖;2024年上海根与芽-百万植树计划25周年杰出合作伙伴奖;2024年广东省制造业企业500强第125位;2024年大湾区战略性新兴产业“领航企业”;TCL华星最长情15年供应商;越南生态工业园区贡献感谢状;2024年第一财经资本市场价值榜-年度竞争力企业;2024年上海新兴产业企业100强第9名;2024年上海制造业企业100强第13名;2024年上海企业100强第38名;2023年度日产质量改善奖;2023年度上海上市公司治理和内部控制“优秀实践”案例;2023年度上海市集成电路封测业销售前十名;2024年昆山市工业产出突出贡献企业;2024年度南投县职场癌症及C肝筛检计划-绩优职场认证;114-116年健康职场认证-健康促进标章;111-114年南投县哺（集）乳室认证-亲善认证;2024年墨西哥哈利斯科州性别平等职场;2024年墨西哥哈利斯科州优良职场典范;墨西哥政府ELSSA职场健康安全认证;2024年关爱员工典范企业;2024年表扬企业对建立工会与举办员工活动突出贡献;2024年Honeywell供应商全球韧性奖;2023年高出口额突出贡献奖；RBA精选工厂（FOC）一星级认证;江苏省智能制造工厂;首批江苏省星级上云企业名单;康吉森最佳合作伙伴;苏州市吴江区百强企业;Danfoss长期合作伙伴;费森尤斯卡比（南昌）医疗器械有限公司-最佳合作供应商;江苏省绿色工厂,GRI准则（GRI Standards 2021）、SASB电子制造服务与原始设计制造（Electronic Manufacturing Services & Original Design Manufacturing）行业准则；GRI Standards,中文,192,174647
145828354_2025-08-29_中国银行股份有限公司2025年半年度第三支柱信息披露报告.pdf,中国银行股份有限公司,中国银行,未找到,2025年半年度第三支柱信息披露报告,未找到,1 引言;1.1 披露依据;1.2 披露声明;2 风险管理、关键审慎监管指标和风险加权资产概览;2.1 KM1：监管并表关键审慎监管指标;2.2 KM2：关键审慎监管指标——处置集团的总损失吸收能力监管要求;2.3 OV1：风险加权资产概况;3 资本和总损失吸收能力的构成;3.1 CCA：资本工具和合格外部总损失吸收能力非资本债务工具的主要特征;3.2 CC1：资本构成;3.3 CC2：集团财务并表和监管并表下的资产负债表差异;3.4 TLAC1：全球系统重要性银行的总损失吸收能力构成（按处置集团）;3.5 TLAC2：重要子集团实体的债权人受偿顺序;3.6 TLAC3：处置实体的债权人受偿顺序;4 信用风险;4.1 CR5-2：信用风险暴露和信用转换系数（按风险权重划分）;4.2 CR6：内部评级法下信用风险暴露（按风险暴露类别和违约概率区间）;5 交易对手信用风险;5.1 CCR1：交易对手信用风险暴露（按计量方法）;6 资产证券化;6.1 SEC1：银行账簿资产证券化;6.2 SEC2：交易账簿资产证券化;7 市场风险;7.1 MR1：标准法下市场风险资本要求;7.2 MR3：简化标准法下市场风险资本要求;8 宏观审慎监管措施;9 杠杆率;9.1 LR1：杠杆率监管项目与相关会计项目的差异;9.2 LR2：杠杆率;10 流动性风险;10.1 LIQ1：流动性覆盖率;10.2 LIQ2：净稳定资金比例,未找到,未找到,未找到,中文,35,23292
145828794_2025-08-29_腾景科技2024年度可持续发展报告.pdf,腾景科技股份有限公司,腾景科技,未找到,2024可持续发展报告,未找到,关于本报告;董事长致辞;责任管理;ESG治理架构;利益相关方沟通;重要性议题分析;走进腾景科技;公司概况;2024荣誉时刻;企业文化;治理责任;公司治理强化;信息沟通披露;风控管理完善;廉洁文化建设;产品责任;创新驱动;产品质量与客户服务;数字化与信息安全;可持续供应链;环境责任;环境管理;应对气候变化;治污减排;资源能源利用;伙伴责任;员工雇佣权益;员工成长关怀;健康安全保障;行业合作交流;社会公益同行,1应对气候变化;2污染物排放;3废弃物处理;6能源利用;7水资源利用;8循环经济;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污;21反不正当竞争,2024年纳税突出贡献奖;福建省院士专家工作站,上海证券交易所《上市公司自律监管指引第14号——可持续发展报告（试行）》;联合国2030年可持续发展目标（SDGs）;全球可持续发展标准委员会《可持续发展报告标准》（GRI Standards）;中国社会科学院《中国企业可持续发展报告编写指南》（CASS-ESG 6.0）;中国国家标准《社会责任报告编写指南》（GB/T36001-2015）;国际标准化组织《ISO 26000：社会责任指南（2010）》,中文,47,46406
145829549_2025-08-29_招商银行股份有限公司2025年半年度第三支柱报告.pdf,招商银行股份有限公司,招商银行,未找到,2025年半年度第三支柱报告,2025-08-29,1. 引言;1.1 披露依据;1.2 并表范围;1.3 披露声明;2. 释义;3. 风险管理、关键审慎监管指标和风险加权资产概览;3.1 KM1 监管并表关键审慎监管指标;3.2 OV1 风险加权资产概况;4. 资本和总损失吸收能力的构成信息;4.1 CCA 资本工具和合格外部总损失吸收能力非资本债务工具的主要特征;4.2 CC1 资本构成;4.3 CC2 集团财务并表和监管并表下的资产负债表的差异;5. 信用风险;5.1 CR5 信用风险暴露和信用转换系数（按风险权重划分）;5.2 CR6 内部评级法下信用风险暴露（按风险暴露类别和违约概率区间）;6. 交易对手信用风险;6.1 CCR1 按计量方法披露交易对手信用风险暴露;7. 资产证券化;7.1 SEC1 银行账簿资产证券化;7.2 SEC2 交易账簿资产证券化;8. 市场风险;8.1 MR1 标准法下市场风险资本要求;9. 宏观审慎监管措施;9.1 GSIB1 全球系统重要性银行评估指标;10. 杠杆率;10.1 LR1 杠杆率监管项目与相关会计项目的差异;10.2 LR2 杠杆率;11. 流动性风险;11.1 LIQ1 流动性覆盖率;11.2 LIQ2 净稳定资金比例,未找到,未找到,国家金融监督管理总局令2023年第4号《商业银行资本管理办法》及相关规定,中文,30,5058
145830680_2025-08-29_农业银行2025年半年度第三支柱信息披露报告.pdf,中国农业银行股份有限公司,中国农业银行,未找到,中国农业银行股份有限公司2025年半年度第三支柱信息披露报告,2025-08-29,1.引言;2.风险管理、关键审慎监管指标和风险加权资产概览;3.资本和总损失吸收能力的构成;4.信用风险;5.交易对手信用风险;6.资产证券化;7.市场风险;8.宏观审慎监管措施;9.杠杆率;10.流动性风险,未找到,未找到,《商业银行资本管理办法》（国家金融监督管理总局令2023年第4号）及相关规定,中文,35,21615
145832275_2025-08-29_工商银行2025半年度资本管理第三支柱信息披露报告.pdf,中国工商银行股份有限公司,工商银行,未找到,2025半年度资本管理第三支柱信息披露报告,未找到,引言;风险管理、关键审慎监管指标和风险加权资产概览;资本和总损失吸收能力的构成;信用风险;交易对手信用风险;资产证券化;市场风险;宏观审慎监管措施;杠杆率;流动性风险,未找到,未找到,国家金融监督管理总局令2023年第4号《商业银行资本管理办法》,中文,32,19968
145889177_2025-09-30_工商银行关于发布2025半年度社会责任与可持续金融专题报告的公告.pdf,中国工商银行股份有限公司,工商银行,601398,中国工商银行股份有限公司关于发布2025半年度社会责任与可持续金融专题报告的公告,2025-09-30,未找到,未找到,未找到,未找到,中文,1,621
145889183_2025-09-30_中国工商银行股份有限公司2025半年度社会责任与可持续金融专题报告.pdf,中国工商银行股份有限公司,工商银行,未找到,中国工商银行股份有限公司2025半年度社会责任与可持续金融专题报告,2025-09-30,1 治理与可持续风险管理;02 公司治理;03 可持续发展管理;04 环境、社会及治理（ESG）风险;05 气候风险管理;06 廉洁工行建设;2 科技金融;07 建设“五专”服务体系;09 支持专精特新“小巨人”企业;09 服务战略性新兴产业;3 绿色金融;10 组织架构与机制建设;11 绿色信贷;11 绿色债券;12 其他绿色金融业务;4 普惠金融;14 支持小微企业;16 助力乡村振兴;18 提高金融服务可得性;5 养老金融;20 组织架构与机制建设;21 养老金金融;22 养老服务金融;23 养老产业金融;6 数字金融;24 数字工行建设;27 支持数字经济发展;7 隐私与数据安全;29 个人客户对数据的控制权;30 数据安全管理体系;31 网络安全政策和系统审计;31 数据安全与隐私保护风险培训;8 消费者权益保护;32 消费者权益保护政策;34 产品与业务审查;35 客户投诉管理;35 消费者权益保护培训;36 金融教育倡议和利益相关方参与;9 人力资本发展;38 员工权益与福利;40 人才发展与培训;10 可持续发展绩效;42 环境;43 社会;45 报告释义;45 报告编制说明;46 独立有限保证鉴证报告,1应对气候变化;9乡村振兴;11创新驱动;15产品和服务安全与质量;16数据安全与客户隐私保护;17员工;18尽职调查;19利益相关方沟通;20反商业贿赂及反贪污,《证券时报》“养老金融天玑奖”；《零售银行》“最佳养老金融服务奖”；《经济观察报》“年度养老金融服务机构”；《央保中心》“优秀受托人”；香港《财资》杂志“2025年度中国年度数字银行”奖项；英国《银行家》“全球最佳开放银行项目”奖项；《亚洲银行家》“中国最佳流程自动化人工智能应用”奖项,联合国可持续发展目标（SDGs）、联合国全球契约十项原则、香港联合交易所《环境、社会及管治报告指引》,中文,27,43445
